"model","price","objem","age","tachometer","seo_name","kombi","district","district_id","district_seo_name","entity_id","img_url","index"
"fabia",358999,1,1.23477070499658,7800,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gZ_q/vo1eD.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",32
"fabia",298999,1,2.90212183436003,139100,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QL_Ey/g2rKCm.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",33
"fabia",33999,1.4,20.4052019164955,160700,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gX_m/YLwHU9.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",34
"fabia",203999,1.4,6.06707734428474,37300,"nafta",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gX_m/V1eGMr.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",35
"fabia",274999,1,5.23477070499658,51500,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QQ_En/XniIni.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",36
"fabia",354999,1,1.23477070499658,13100,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gX_m/eAFELC.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",37
"fabia",129999,1.4,10.3189596167009,165500,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gT_o/mMuEFo.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",38
"fabia",317999,1,3.57289527720739,108500,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QL_Ex/qAzMkr.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",39
"fabia",144999,1.4,12.7392197125257,101800,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gU_m/bWlFWN.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",40
"fabia",189999,1.2,7.06913073237509,193800,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QR_E7/5gzGHq.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",41
"fabia",208999,1.2,6.31895961670089,93500,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QI_D8/4GIFlT.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",42
"fabia",234999,1,4.90075290896646,154300,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gW_n/zd2NDo.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",43
"fabia",248999,1.2,5.48665297741273,147800,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QO_Eo/oqwPBN.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",44
"fabia",233999,1.4,5.48665297741273,139300,"nafta",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QM_Ex/d1OO6V.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",45
"fabia",344999,1,1.23477070499658,25400,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gT_q/xXGCPB.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",46
"fabia",32999,1.2,19.5728952772074,159000,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gR_n/9xZJrv.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",47
"fabia",57999,1.4,15.4880219028063,270900,"nafta",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gS_o/hMeJjK.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",48
"fabia",233999,1,4.90075290896646,151200,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QQ_Eo/URZN7e.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",49
"fabia",228999,1.4,9.98494182067077,103400,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gU_m/dv7IpY.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",50
"fabia",244999,1,3.73990417522245,168350,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QN_Ep/T6mDVu.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",51
"fabia",298999,1,3.40588637919233,71100,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QL_Ez/V7bLfb.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",52
"fabia",179999,1.2,7.15400410677618,152100,"benzin",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_QN_Ep/1YDDVo.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",53
"fabia",168999,1.4,7.32101300479124,224500,"nafta",0,"Benešov",48,"benesov",48,"http://d19-a.sdn.cz/d_19/c_img_gU_m/NdfFzk.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",54
